id,id_categoria,id_estado,id_depto,id_custodio,id_proveedor,nombre,marca,modelo,serial,familia,subfam,ubicacion,area,fecha_ingreso,costo_adquis,valor_actual,descripcion,observaciones,foto_url,factura_url,borrado,fecha_baja,fecha_crea,fecha_act,id_seccion,id_familia,id_subfamilia
ACT-3343,CAT-0023,1,ORG-0001,null,PROV-001,Lampara Cabecera Cama Empotrable,,,,null,null, , ,5/6/2026,0,0, , ,null,null,false,null,2026-05-06 15:49:45.563+00,2026-05-06 15:49:45.563+00,null,null,null
ACT-3344,CAT-0009,1,ORG-0001,null,PROV-001,Cuadro Theship's,,,,null,null, , ,5/6/2026,0,0, , ,null,null,false,null,2026-05-06 15:49:45.637+00,2026-05-06 15:49:45.637+00,null,null,null
ACT-3345,CAT-0023,1,ORG-0001,null,PROV-001,Cama Box Matrimonial 1.60x2.00mts,Simmons,,500924326,null,null, , ,5/6/2026,0,0, , ,null,null,false,null,2026-05-06 15:49:45.72+00,2026-05-06 15:49:45.72+00,null,null,null
ACT-3346,CAT-0023,2,ORG-0001,null,PROV-001,Colchon  1.60 X 2.00mts,Simmons,,,null,null, , ,5/6/2026,0,0, , ,null,null,false,null,2026-05-06 15:49:45.797+00,2026-05-06 15:49:45.8+00,null,null,null
ACT-3347,CAT-0015,2,ORG-0001,null,PROV-001,"Televisor 32"" ",Sony,KDL-32BX325,8755399,null,null, , ,5/6/2026,0,0, , ,null,null,false,null,2026-05-06 15:49:45.9+00,2026-05-06 15:49:45.9+00,null,null,null
ACT-3348,CAT-0015,1,ORG-0001,null,PROV-001,Decodificador De Television Satelital Hd,Directv,Por identificar,T25XAQ483TR0TN,null,null, , ,5/6/2026,0,0, , ,null,null,false,null,2026-05-06 15:49:45.987+00,2026-05-06 15:49:45.987+00,CAT-0059,null,null
ACT-3349,CAT-0023,1,ORG-0001,null,PROV-001,Mueble De Madera Con Escritorio Empotrado + Repisa Tv Y Deco,,,,null,null, , ,5/6/2026,0,0, , ,null,null,false,null,2026-05-06 15:49:46.08+00,2026-05-06 15:49:46.08+00,null,null,null
ACT-335,CAT-0015,1,ORG-0001,null,PROV-001,Cafetera 4 Tazas Con Jarra De Vidrio,Oster,No posee,No posee,null,null, , ,5/6/2026,0,0, , ,null,null,false,null,2026-05-06 15:45:11.23+00,2026-05-06 15:45:11.23+00,CAT-0056,null,null
ACT-3350,CAT-0023,1,ORG-0001,null,PROV-001,Silla  Escritorio,,,,null,null, , ,5/6/2026,0,0, , ,null,null,false,null,2026-05-06 15:49:46.187+00,2026-05-06 15:49:46.187+00,null,null,null
ACT-3351,CAT-0023,1,ORG-0001,null,PROV-001,Maletero Habitacion ,,,,null,null, , ,5/6/2026,0,0, , ,null,null,false,null,2026-05-06 15:49:46.27+00,2026-05-06 15:49:46.27+00,null,null,null
ACT-3352,CAT-0023,1,ORG-0001,null,PROV-001,Maletero Habitacion ,,,,null,null, , ,5/6/2026,0,0, , ,null,null,false,null,2026-05-06 15:49:46.36+00,2026-05-06 15:49:46.36+00,null,null,null
ACT-3353,CAT-0009,1,ORG-0001,null,PROV-001,Cuadro Con Pintura Marina Y Detalles Bordados,,,,null,null, , ,5/6/2026,0,0, , ,null,null,false,null,2026-05-06 15:49:46.46+00,2026-05-06 15:49:46.46+00,null,null,null
ACT-3354,CAT-0015,1,ORG-0001,null,PROV-001,Timbre,Por Identificar,Por identificar,Por identificar,null,null, , ,5/6/2026,0,0, , ,null,null,false,null,2026-05-06 15:49:46.557+00,2026-05-06 15:49:46.557+00,null,null,null
ACT-3355,CAT-0015,1,ORG-0001,null,PROV-001,Telefono ,Panasonic,KX-TS500LXB,4BBK1568755,null,null, , ,5/6/2026,0,0, , ,null,null,false,null,2026-05-06 15:49:46.653+00,2026-05-06 15:49:46.653+00,null,null,null
ACT-3356,CAT-0009,1,ORG-0001,null,PROV-001,Reloj De Pared Con Pinturas Marinas,,,,null,null, , ,5/6/2026,0,0, , ,null,null,false,null,2026-05-06 15:49:46.743+00,2026-05-06 15:49:46.743+00,null,null,null
ACT-3357,CAT-0009,1,ORG-0001,null,PROV-001,Cuadro Estrellas De Papel,,,,null,null, , ,5/6/2026,0,0, , ,null,null,false,null,2026-05-06 15:49:46.813+00,2026-05-06 15:49:46.813+00,null,null,null
ACT-3358,CAT-0022,1,ORG-0001,null,PROV-001,Lampara De Mesa,,,,null,null, , ,5/6/2026,0,0, , ,null,null,false,null,2026-05-06 15:49:46.917+00,2026-05-06 15:49:46.917+00,null,null,null
ACT-3359,CAT-0023,1,ORG-0001,null,PROV-001,Gavetero Con Escritorio,,,,null,null, , ,5/6/2026,0,0, , ,null,null,false,null,2026-05-06 15:49:47.02+00,2026-05-06 15:49:47.02+00,null,null,null
ACT-336,CAT-0025,1,ORG-0001,null,PROV-001,"Mug Porcelana Blanco 379,7 Ml",Corona,,,null,null, , ,5/6/2026,0,0, , ,null,null,false,null,2026-05-06 15:45:11.307+00,2026-05-06 15:45:11.307+00,null,null,null
ACT-3360,CAT-0023,1,ORG-0001,null,PROV-001,Sillon ,,,,null,null, , ,5/6/2026,0,0, , ,null,null,false,null,2026-05-06 15:49:47.107+00,2026-05-06 15:49:47.107+00,null,null,null
ACT-3361,CAT-0009,1,ORG-0001,null,PROV-001,Espejo De Pared,,,,null,null, , ,5/6/2026,0,0, , ,null,null,false,null,2026-05-06 15:49:47.173+00,2026-05-06 15:49:47.173+00,null,null,null
ACT-3362,CAT-0014,1,ORG-0001,null,PROV-001,Aire Acondicionado Split  12.000 Btu ,Haier,HSU-12LEA13-M,no posee,null,null, , ,5/6/2026,0,0, , ,null,null,false,null,2026-05-06 15:49:47.253+00,2026-05-06 15:49:47.253+00,CAT-0043,null,null
ACT-3363,CAT-0023,1,ORG-0001,null,PROV-001,Silla Metalica ,,,,null,null, , ,5/6/2026,0,0, , ,null,null,false,null,2026-05-06 15:49:47.313+00,2026-05-06 15:49:47.313+00,null,null,null
ACT-3364,CAT-0023,1,ORG-0001,null,PROV-001,Mueble Espejo Empotrable Baño,,,,null,null, , ,5/6/2026,0,0, , ,null,null,false,null,2026-05-06 15:49:47.387+00,2026-05-06 15:49:47.387+00,null,null,null
ACT-3365,CAT-0023,1,ORG-0001,null,PROV-001,Lava Manos,,,,null,null, , ,5/6/2026,0,0, , ,null,null,false,null,2026-05-06 15:49:47.46+00,2026-05-06 15:49:47.46+00,null,null,null
ACT-3366,CAT-0018,1,ORG-0001,null,PROV-001,Llave Lavamanos Mono Mando,,,,null,null, , ,5/6/2026,0,0, , ,null,null,false,null,2026-05-06 15:49:47.56+00,2026-05-06 15:49:47.56+00,CAT-0070,null,null
ACT-3367,CAT-0025,1,ORG-0001,null,PROV-001,Vaso Uso Dental Baño,,,,null,null, , ,5/6/2026,0,0, , ,null,null,false,null,2026-05-06 15:49:47.627+00,2026-05-06 15:49:47.627+00,null,null,null
ACT-3368,CAT-0001,1,ORG-0001,null,PROV-001,Bandeja Porta Accesorios Baño,Eurochef,,,null,null, , ,5/6/2026,0,0, , ,null,null,false,null,2026-05-06 15:49:47.73+00,2026-05-06 15:49:47.73+00,null,null,null
ACT-3369,CAT-0023,1,ORG-0001,null,PROV-001,Sanitario (Taza De Poceta Para Fluxometro),Sanitarios Maracay,,,null,null, , ,5/6/2026,0,0, , ,null,null,false,null,2026-05-06 15:49:47.793+00,2026-05-06 15:49:47.793+00,null,null,null
ACT-337,CAT-0025,1,ORG-0001,null,PROV-001,Vaso De Vidrio 240 Ml,,,,null,null, , ,5/6/2026,0,0, , ,null,null,false,null,2026-05-06 15:45:11.37+00,2026-05-06 15:45:11.37+00,null,null,null
ACT-3370,CAT-0018,1,ORG-0001,null,PROV-001,Fluxometro Para W.C,,,,null,null, , ,5/6/2026,0,0, , ,null,null,false,null,2026-05-06 15:49:47.877+00,2026-05-06 15:49:47.877+00,CAT-0070,null,null
ACT-3371,CAT-0018,1,ORG-0001,null,PROV-001,Ducha De Bidet,,,,null,null, , ,5/6/2026,0,0, , ,null,null,false,null,2026-05-06 15:49:47.95+00,2026-05-06 15:49:47.95+00,CAT-0070,null,null
ACT-3372,CAT-0001,1,ORG-0001,null,PROV-001,Dispensador De Papel Higienico,,,,null,null, , ,5/6/2026,0,0, , ,null,null,false,null,2026-05-06 15:49:48.023+00,2026-05-06 15:49:48.023+00,null,null,null
ACT-3373,CAT-0001,1,ORG-0001,null,PROV-001,Papelera Baño Blanca ,,,,null,null, , ,5/6/2026,0,0, , ,null,null,false,null,2026-05-06 15:49:48.08+00,2026-05-06 15:49:48.08+00,null,null,null
ACT-3374,CAT-0001,1,ORG-0001,null,PROV-001,Tendedor De Toallas,,,,null,null, , ,5/6/2026,0,0, , ,null,null,false,null,2026-05-06 15:49:48.153+00,2026-05-06 15:49:48.153+00,null,null,null
ACT-3375,CAT-0018,1,ORG-0001,null,PROV-001,Regadera Ducha,,,,null,null, , ,5/6/2026,0,0, , ,null,null,false,null,2026-05-06 15:49:48.237+00,2026-05-06 15:49:48.237+00,CAT-0070,null,null
ACT-3376,CAT-0001,1,ORG-0001,null,PROV-001,Jabonera,,,,null,null, , ,5/6/2026,0,0, , ,null,null,false,null,2026-05-06 15:49:48.33+00,2026-05-06 15:49:48.33+00,null,null,null
ACT-3377,CAT-0018,1,ORG-0001,null,PROV-001,Grupo Ducha Monomando Cromo Con Manilla,,,,null,null, , ,5/6/2026,0,0, , ,null,null,false,null,2026-05-06 15:49:48.43+00,2026-05-06 15:49:48.43+00,CAT-0070,null,null
ACT-3378,CAT-0001,1,ORG-0001,null,PROV-001,Soporte De Baño Para Discapacitados,,,,null,null, , ,5/6/2026,0,0, , ,null,null,false,null,2026-05-06 15:49:48.523+00,2026-05-06 15:49:48.523+00,null,null,null
ACT-3379,CAT-0015,1,ORG-0001,null,PROV-001,Secador De Cabello ,Conair 1875,247VH,no posee,null,null, , ,5/6/2026,0,0, , ,null,null,false,null,2026-05-06 15:49:48.64+00,2026-05-06 15:49:48.64+00,CAT-0062,null,null
